HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
129381,Tortricidae,Clarkeulia,nr. virga,,Clarke,Compositae,Baccharis,spicata,,Uruguay,,
85848,Nymphalidae,Manataria,hercyna,,Hübner,Gramineae,Bambusa,,,Argentina,,
88168,Nymphalidae,Praepedaliodes,phanias,,Hewitson,Gramineae,Bambusa,,,Argentina,,
88787,Nymphalidae,Taygetis,ypthima,,Hübner,Gramineae,Bambusa,arundinacea,,Argentina,,
73431,Noctuidae,Tripseuxoa,strigata,,Hampson,Chenopodiaceae,Beta,vulgaris,,Uruguay,,
35334,Lasiocampidae,Tolype,guentheri,,Berg,Urticaceae,Boehmeria,caudata,,Argentina,on leaves,
73432,Noctuidae,Tripseuxoa,strigata,,Hampson,Cruciferae,Brassica,,,Uruguay,,
136824,Tortricidae,Proeulia,chrysopteris,,Butler,Leguminosae (C),Caesalpinia,paraguariensis,,Argentina,,
85081,Nymphalidae,Junonia,evarete,,Cramer,Scrophulariaceae,Calceolaria,tripartita,,Argentina,,
88559,Nymphalidae,Siproeta,stelenes,,Linnaeus,Leguminosae (M),Calliandra,parvifolia,,Argentina,,
89607,Nymphalidae,Zaretis,itys,,Cramer,Flacourtiaceae,Casearia,sylvestris,,Argentina,,
81541,Nymphalidae,Colobura,dirce,,Linnaeus,Leguminosae (C),Cassia,,,Argentina,,
5232,Cecidosidae,Cecidoses,eremita,,Curtis,Celastraceae,Celastrus,,,Uruguay,in galls,
85085,Nymphalidae,Junonia,evarete,,Cramer,Compositae,Centaurea,,,Argentina,,
85089,Nymphalidae,Junonia,evarete,,Cramer,Compositae,Centaurea,tweediei,,Argentina,,
15919,Geometridae,Discalma,subumbrata,,Dognin,Leguminosae (C),Ceratonia,siliqua,,Argentina,,
21491,Geometridae,Nephodia,marginata,,Warren,Leguminosae (C),Ceratonia,siliqua,,Argentina,,
107528,Pyralidae,Ozamia,hemilutella,,Dyar,Cactaceae,Cereus,,,Argentina,,
101376,Pyralidae,Cereophagus,futilalis,,Dyar,Cactaceae,Cereus,validus,,Argentina,,
107529,Pyralidae,Ozamia,hemilutella,,Dyar,Cactaceae,Cereus,validus,,Argentina,,
107534,Pyralidae,Ozamia,punicans,,Heinrich,Cactaceae,Cereus,validus,,Argentina,,
107535,Pyralidae,Ozamia,stigmaferella,,Dyar,Cactaceae,Cereus,validus,,Argentina,,
105701,Pyralidae,Laetilia,amphimetra,,Meyrick,Insecta,Ceroplastes (Z),,,Argentina,on scale insects,
82531,Nymphalidae,Elina,lefebvrei,,Guérin-Méneville,Gramineae,Chusquea,,,Argentina,,
88172,Nymphalidae,Praepedaliodes,phanias,,Hewitson,Gramineae,Chusquea,,,Argentina,,
88789,Nymphalidae,Taygetis,ypthima,,Hübner,Gramineae,Chusquea,meyeriana,,Argentina,,
131305,Tortricidae,Deltinea,costalimai,,Pastrana,Rutaceae,Citrus,,,Argentina,,
128609,Tortricidae,Bonagota,cranaodes/salubricol,,,Rutaceae,Citrus,limon,,Uruguay,,
131298,Tortricidae,Deltinea,bourquini,,Clarke,Rutaceae,Citrus,sinensis,,Argentina,,
131306,Tortricidae,Deltinea,costalimai,,Pastrana,Rutaceae,Citrus,sinensis,,Argentina,,
131310,Tortricidae,Deltinea,dimorpha,,Clarke,Rutaceae,Citrus,sinensis,,Argentina,,
37511,Limacodidae,Sibine,bonaerensis,,Berg,Rutaceae,Citrus,sinensis,,Argentina,,
83856,Nymphalidae,Fountainea,cratais,,Hewitson,Euphorbiaceae,Croton,,,Argentina,,
83859,Nymphalidae,Fountainea,eurypyle,,Felder,Euphorbiaceae,Croton,,,Argentina,,
86295,Nymphalidae,Memphis,morvus,,Fabricius,Euphorbiaceae,Croton,,,Argentina,,
118301,Sesiidae,Melittia,pulchripes,,Walker,Cucurbitaceae,Cucurbita,,,Argentina,,
83901,Nymphalidae,Haematera,pyramus,,Hübner,Sapindaceae,Cupania,vernalis,,Argentina,,
85092,Nymphalidae,Junonia,evarete,,Cramer,Scrophulariaceae,Cymbalaria,muralis,,Argentina,,
97757,Psychidae,Curtorama,cassiae,,Weyenbergh,Compositae,Cynara,cardunculus,,Argentina,,
89361,Nymphalidae,Vanessa,carye,,Hübner,Compositae,Cynara,cardunculus,,Argentina,,
98538,Psychidae,Oiketicus,platensis,,Berg,Leguminosae (P),Cytisus,,,Argentina,,
133110,Tortricidae,Eulia,loxonephes,,Meyrick,Compositae,Dahlia,,,Argentina,,
